,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
Philippus J. Debold,na,na,na,na,na,na,na,na,na,na,na,na,residentia leonardopolitana s. aloisii,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium caesariense sancti petri,collegium caesariense sancti petri,collegium caesariense sancti petri
Joannes C. Reville,na,na,na,na,na,na,na,na,na,na,na,na,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,domus scriptorum neo eboracensis,domus scriptorum neo eboracensis,domus scriptorum neo eboracensis,domus scriptorum neo eboracensis,domus scriptorum neo eboracensis,domus scriptorum neo eboracensis,domus scriptorum neo eboracensis,domus probationis poughkeepsiensis
Patritius J. Muldowney,na,na,na,na,na,na,na,na,na,na,na,na,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis
Philippus H. Burkett,na,na,na,na,na,na,na,na,na,na,na,na,collegium philadelphiense,collegium baltimorense,collegium baltimorense,collegium caesariense sancti petri,collegium bostoniense,collegium bostoniense,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum
Thomas A. Iorio,na,na,na,na,na,na,na,na,na,na,na,na,collegium philadelphiense,na,na,na,na,na,na,na,na,na
Eugenius Del. McDonnell,na,na,na,na,na,na,na,na,na,na,na,na,residentia philadelphiensis ad s. josephi,na,na,na,na,na,collegium baltimorense,collegium baltimorense,schola alta baltimorensis,schola alta baltimorensis
Eugenius Bacigalupi,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na,na
Henricus Brainard,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na,na
Timotheus Cronin,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na,na
Patritius H. Deignan,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na,na
Josephus P. Desjardins,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na,na
Henricus Gauthier,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na,na
Josephus Lajoie,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na,na
Robertus Libertini,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na,na
Gulielmus E. Smith,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na,na
Carmelus Tranchese,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na,na
Ludovicus J. Young,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,schola alta bostoniensis,na,na,na,na,na
Joannes F. Barry,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola alta buffalensis b. petri canisii,na,na,schola alta buffalensis b. petri canisii,na,na
Franciscus J. Dolan,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium baltimorense,collegium baltimorense,collegium s. crucis,collegium s. crucis,collegium maximum woodstockiense,collegium maximum woodstockiense
Joannes J. Dwyer,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,collegium bostoniense,na,collegium maximum woodstockiense,na
Josephus T. O'Brien,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola alta bostoniensis,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,na,collegium maximum woodstockiense
Jacobus J. Reilly,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na,na
Franciscus E.,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na,na
Josephus A. LaPorta,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na,na
Jacobus T. Mulligan,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium maximum woodstockiense,collegium maximum woodstockiense
Petrus Torpy,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na,na
Morgan A. Downey,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,degentes extra provinciam,degentes extra provinciam,na,collegium maximum woodstockiense
Thomas J. Brown,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,collegium maximum woodstockiense,collegium brooklyniense,na,collegium georgiopolitanum,na,collegium maximum woodstockiense
Haroldus 6 Mulqueen,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na,na
Jacobus S. Dinneen,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na,na
Joannes J. Muenzen,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na,na
Gulielmus A. McKenna,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na
Eduardus B. Berry,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola alta bostoniensis,schola alta bostoniensis,collegium baltimorense,na
Henricus L. Irwin,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola alta buffalensis b. petri canisii,degentes extra provinciam,degentes extra provinciam,na,collegium maximum woodstockiense
Joannes E. Welch,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,schola alta bostoniensis,schola alta bostoniensis,schola alta bostoniensis,schola alta bostoniensis,schola alta bostoniensis,collegium s. crucis
Joannes R. O'Connell,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam
Mauritius S. Martin,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,na,collegium maximum woodstockiense,schola alta bostoniensis,schola alta bostoniensis,schola alta bostoniensis
Gualterus W. Claffey,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola alta bostoniensis,degentes extra provinciam,degentes extra provinciam,na,collegium maximum woodstockiense
Philippus J. Clarke,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola alta bostoniensis,schola alta bostoniensis,collegium philadelphiense
Thomas A. Doyle,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,na,collegium brooklyniense,collegium brooklyniense,collegium sancti francisci xaverii
Joannes J. Dugan,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium brooklyniense,collegium brooklyniense,collegium brooklyniense
E. Franciscus Flaherty,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola alta bostoniensis,domus philosophiae westoniensis,collegium kingstonense
Daniel J. Foley,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,na,collegium caesariense sancti petri,schola alta bostoniensis,schola alta bostoniensis
Jacobus E. Hayes,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,na,na,na,na,na
Thomas J. Higgins,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola alta bostoniensis,schola alta bostoniensis,schola alta bostoniensis
Joannes A. Madden,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium georgiopolitanum,collegium georgiopolitanum,schola praeparatoria collegii georgiopolitani,collegium maximum woodstockiense
Joannes J. McGrath,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium fordhamense,collegium fordhamense
Herbertus P. McNally,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium brooklyniense,collegium brooklyniense,collegium caesariense sancti petri
Gualterus J. Meagher,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,degentes extra provinciam,na,degentes extra provinciam
Joannes J. Moriarty,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium brooklyniense,collegium brooklyniense,collegium brooklyniense
Ludovicus R. Parsons,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na,na
Raymundus I. Purcell,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,na,na,domus probationis poughkeepsiensis,collegium maximum woodstockiense,na,degentes extra provinciam,degentes extra provinciam,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis
Laurentius E. Stanley,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium caesariense sancti petri,degentes extra provinciam,na
Arthurus E. Whall,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,na,collegium maximum woodstockiense,collegium maximum woodstockiense,schola alta bostoniensis,collegium buffalense,na
Ernestus P. Amy,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,na,collegium maximum woodstockiense,collegium philadelphiense,na,collegium bostoniense
Thomas F. Barrett,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola alta buffalensis b. petri canisii,schola alta buffalensis b. petri canisii,na
Thomas A. Brennan,na,na,na,na,na,na,na,na,na,na,na,na,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola alta buffalensis b. petri canisii,schola alta buffalensis b. petri canisii,schola alta buffalensis b. petri canisii
